,COMB1_Delta,COMB2_Delta,COMB3_Delta,COMB4_Delta,COMB1_Theta,COMB2_Theta,COMB3_Theta,COMB4_Theta,COMB1_Alpha,COMB2_Alpha,COMB3_Alpha,COMB4_Alpha,COMB1_Beta,COMB2_Beta,COMB3_Beta,COMB4_Beta,COMB1_Gamma,COMB2_Gamma,COMB3_Gamma,COMB4_Gamma
0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
,COMB1_Delta,COMB2_Delta,COMB3_Delta,COMB4_Delta,COMB1_Theta,COMB2_Theta,COMB3_Theta,COMB4_Theta,COMB1_Alpha,COMB2_Alpha,COMB3_Alpha,COMB4_Alpha,COMB1_Beta,COMB2_Beta,COMB3_Beta,COMB4_Beta,COMB1_Gamma,COMB2_Gamma,COMB3_Gamma,COMB4_Gamma
0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
,COMB1_Delta,COMB2_Delta,COMB3_Delta,COMB4_Delta,COMB1_Theta,COMB2_Theta,COMB3_Theta,COMB4_Theta,COMB1_Alpha,COMB2_Alpha,COMB3_Alpha,COMB4_Alpha,COMB1_Beta,COMB2_Beta,COMB3_Beta,COMB4_Beta,COMB1_Gamma,COMB2_Gamma,COMB3_Gamma,COMB4_Gamma
0,-1.12253035856165e-17,-1.1922944935692561e-17,2.142818970556069e-17,-2.0788444161970936e-17,3.1335533620808734e-17,-1.2543853600207427e-18,-2.2539887196993014e-17,-2.5993704506914414e-17,-2.4163478817866434e-17,-1.7709665375381188e-17,-2.628980864442423e-17,0.0,-1.0365208772596854e-17,-2.2382666749122477e-18,2.883203202014362e-17,7.567579792869307e-18,-1.6017896239828402e-18,-2.8751726903986764e-18,2.5759880958252153e-18,9.873625238273195e-19
,COMB1_Delta,COMB2_Delta,COMB3_Delta,COMB4_Delta,COMB1_Theta,COMB2_Theta,COMB3_Theta,COMB4_Theta,COMB1_Alpha,COMB2_Alpha,COMB3_Alpha,COMB4_Alpha,COMB1_Beta,COMB2_Beta,COMB3_Beta,COMB4_Beta,COMB1_Gamma,COMB2_Gamma,COMB3_Gamma,COMB4_Gamma
0,-1.12253035856165e-17,-1.1922944935692561e-17,2.142818970556069e-17,-2.0788444161970936e-17,3.1335533620808734e-17,-1.2543853600207427e-18,-2.2539887196993014e-17,-2.5993704506914414e-17,-2.4163478817866434e-17,-1.7709665375381188e-17,-2.628980864442423e-17,0.0,-1.0365208772596854e-17,-2.2382666749122477e-18,2.883203202014362e-17,7.567579792869307e-18,-1.6017896239828402e-18,-2.8751726903986764e-18,2.5759880958252153e-18,9.873625238273195e-19
,COMB1_Delta,COMB2_Delta,COMB3_Delta,COMB4_Delta,COMB1_Theta,COMB2_Theta,COMB3_Theta,COMB4_Theta,COMB1_Alpha,COMB2_Alpha,COMB3_Alpha,COMB4_Alpha,COMB1_Beta,COMB2_Beta,COMB3_Beta,COMB4_Beta,COMB1_Gamma,COMB2_Gamma,COMB3_Gamma,COMB4_Gamma
0,-1.12253035856165e-17,-1.1922944935692561e-17,2.142818970556069e-17,-2.0788444161970936e-17,3.1335533620808734e-17,-1.2543853600207427e-18,-2.2539887196993014e-17,-2.5993704506914414e-17,-2.4163478817866434e-17,-1.7709665375381188e-17,-2.628980864442423e-17,0.0,-1.0365208772596854e-17,-2.2382666749122477e-18,2.883203202014362e-17,7.567579792869307e-18,-1.6017896239828402e-18,-2.8751726903986764e-18,2.5759880958252153e-18,9.873625238273195e-19
