,MV1,MV2,MV3,MV4,MV5,MV6,MV7,MV8,MV9,MV10,MV11,MV12,MV13,MV14,MV15,MV16
0,0.5196315348421324,3.618278378715129,9.09842023559774,13.642705368895664,26.495991545809368,28.097366649637745,97.4921631198916,118.22416700306798,146.8205371139321,169.32703671513585,150.8978986703066,122.47311798417718,144.95999993499802,177.06608625231397,149.8436726426432,143.05687867584834
2,3.859471441983004,18.230736930907984,40.414274407528,52.492206629068846,73.00857729917232,91.08726740347616,112.0145241634826,98.304928664049,19.780677554835705,-24.88135207779257,-116.95451156179448,-42.62453079627346,-98.56505010394196,-182.06588018872893,-236.26785377845457,-200.57052476655315
3,5.300888582757798,21.29417250417464,44.11327636341239,42.307571124703,40.29141885144523,20.66747139735264,-64.24975490041305,-130.45138664019396,-208.4678882313483,-233.37814768699852,-221.4387885580261,-104.92637080110784,-116.3786406151903,-18.79597788935257,64.11018869596819,60.210898306774254
4,6.787918413847752,24.882017810216148,45.04968563094373,33.85031100331034,6.373538207099216,-46.38807025794444,-65.49421059564281,-66.28224971188217,-59.87500015968044,17.379689419919487,100.53294509230147,56.79702995167565,141.83477671264313,303.2925730985452,194.8321129768044,-0.6614517197282339
5,8.165173222758398,26.965557143530702,33.51389555903484,13.399373830706963,-42.75210055794355,-90.30539871333906,-96.4951837251158,-43.87768859449056,24.851738321031235,77.08091253840439,51.2615487260789,-30.282048855108314,-85.37344571918788,-224.99536151992675,-337.99324046547804,-347.0253038490754
6,9.40625672386212,25.78118678343793,20.323959754905783,-18.435010745487943,-66.37505185581256,-89.98087606799083,-38.17567697987715,21.383624318836155,122.06460344488914,65.04885126265162,-51.21178674237467,-20.29663778023064,-243.16324420139244,-240.9623789638604,26.253647973782336,188.10504936211896
7,10.507091801308718,24.450599335524032,5.4919041296520845,-37.28471633597155,-68.51468091807328,-30.042887050712466,83.38137120520219,132.3072995689015,92.45188831410768,-53.553016680984456,-93.60214115344024,29.39623020412523,-13.085362738405593,218.37256182163264,238.4481122804914,125.48570079430168
8,10.926410253371913,20.601646351243858,-11.13456780014326,-44.45648778166537,-49.45408399379505,32.2060074619958,110.5022785118681,49.20756265991258,-98.55223071411184,-237.18756401104747,-95.4605443453579,-20.735008084754327,158.0809868025715,23.77340353430077,-240.15906580618093,-242.7674477546916
9,11.4974583048039,14.883907665410447,-23.162843756700116,-55.04617925242633,-1.232550464487531,74.18838645948733,80.7682010086678,-75.69319108318541,-116.7553887033655,-77.0860846842047,153.0631026307126,7.061444433125644,-46.1495367808011,-224.6775278940759,-84.72892875772186,144.64648361284742
10,12.278153992878742,10.915867513936632,-37.40585756080122,-47.92350429546468,29.863307677797597,96.45915008274268,-29.98339148054174,-122.69149166552506,-60.40373888528666,106.90078191466772,105.37964892164428,-23.28320547635235,-238.9375712674705,43.72902220054402,182.19569217610604,58.26556285529276
11,12.681387725383502,3.272580587922789,-43.78892109514641,-14.715525978505411,54.96389738714288,46.19919320510599,-101.53796197934253,-54.739009272760086,89.7970375163336,76.71274788971596,-151.1370755442872,-26.3711185044026,96.53163928536172,169.0073751377895,15.267633643250749,-248.78428194294764
